ProteinID	Gene
DUOX2+AF8-HUMAN	DUOX2
DYNAP+AF8-HUMAN	DYNAP
EAA1+AF8-HUMAN	SLC1A3
EAA2+AF8-HUMAN	SLC1A2
EAA3+AF8-HUMAN	SLC1A1
EAA4+AF8-HUMAN	SLC1A6
EAA5+AF8-HUMAN	SLC1A7
EBP+AF8-HUMAN	EBP
ECE1+AF8-HUMAN	ECE1
ECSCR+AF8-HUMAN	ECSCR
EDAR+AF8-HUMAN	EDAR
EDA+AF8-HUMAN	EDA
EDNRA+AF8-HUMAN	EDNRA
EDNRB+AF8-HUMAN	EDNRB
EFC1+AF8-HUMAN	ERVFC1
EFNA1+AF8-HUMAN	EFNA1
EFNA2+AF8-HUMAN	EFNA2
EFNA3+AF8-HUMAN	EFNA3
EFNA4+AF8-HUMAN	EFNA4
EFNA5+AF8-HUMAN	EFNA5
EFNB1+AF8-HUMAN	EFNB1
EFNB2+AF8-HUMAN	EFNB2
EFNB3+AF8-HUMAN	EFNB3
EGFR+AF8-HUMAN	EGFR
EGF+AF8-HUMAN	EGF
EGLN+AF8-HUMAN	ENG
ELFN1+AF8-HUMAN	ELFN1
EMB+AF8-HUMAN	EMB
EMP1+AF8-HUMAN	EMP1
EMP2+AF8-HUMAN	EMP2
EMP3+AF8-HUMAN	EMP3
EN113+AF8-HUMAN	HERVK+AF8-113
ENK13+AF8-HUMAN	ERVK13+AC0-1
ENK18+AF8-HUMAN	ERVK+AC0-18
ENK19+AF8-HUMAN	ERVK+AC0-19
ENK21+AF8-HUMAN	ERVK+AC0-21
ENK24+AF8-HUMAN	ERVK+AC0-24
ENK25+AF8-HUMAN	ERVK+AC0-25
ENK6+AF8-HUMAN	ERVK+AC0-6
ENK7+AF8-HUMAN	ERVK+AC0-7
ENK8+AF8-HUMAN	ERVK+AC0-8
ENK9+AF8-HUMAN	ERVK+AC0-9
ENPP1+AF8-HUMAN	ENPP1
ENPP4+AF8-HUMAN	ENPP4
ENPP5+AF8-HUMAN	ENPP5
ENPP6+AF8-HUMAN	ENPP6
ENTK+AF8-HUMAN	TMPRSS15
ENTP1+AF8-HUMAN	ENTPD1
ENTP3+AF8-HUMAN	ENTPD3
ENVT1+AF8-HUMAN	ERVS71+AC0-1
EPCAM+AF8-HUMAN	EPCAM
EPCR+AF8-HUMAN	PROCR
EPGN+AF8-HUMAN	EPGN
EPHA1+AF8-HUMAN	EPHA1
EPHA2+AF8-HUMAN	EPHA2
EPHA3+AF8-HUMAN	EPHA3
EPHA4+AF8-HUMAN	EPHA4
EPHA5+AF8-HUMAN	EPHA5
EPHA6+AF8-HUMAN	EPHA6
EPHA7+AF8-HUMAN	EPHA7
EPHA8+AF8-HUMAN	EPHA8
EPHAA+AF8-HUMAN	EPHA10
EPHB1+AF8-HUMAN	EPHB1
EPHB2+AF8-HUMAN	EPHB2
EPHB3+AF8-HUMAN	EPHB3
EPHB4+AF8-HUMAN	EPHB4
EPHB6+AF8-HUMAN	EPHB6
EPOR+AF8-HUMAN	EPOR
EQTN+AF8-HUMAN	EQTN
ERB1+AF8-HUMAN	ERVPABLB+AC0-1
ERBB2+AF8-HUMAN	ERBB2
ERBB3+AF8-HUMAN	ERBB3
ERBB4+AF8-HUMAN	ERBB4
EREG+AF8-HUMAN	EREG
ERMAP+AF8-HUMAN	ERMAP
ERMP1+AF8-HUMAN	ERMP1
ERVV1+AF8-HUMAN	ERVV+AC0-1
ERVV2+AF8-HUMAN	ERVV+AC0-2
ESAM+AF8-HUMAN	ESAM
ESYT3+AF8-HUMAN	ESYT3
EVA1C+AF8-HUMAN	EVA1C
EVI2A+AF8-HUMAN	EVI2A
EVI2B+AF8-HUMAN	EVI2B
F1711+AF8-HUMAN	FAM171A1
F1712+AF8-HUMAN	FAM171A2
F171B+AF8-HUMAN	FAM171B
F174A+AF8-HUMAN	FAM174A
F174B+AF8-HUMAN	FAM174B
F187B+AF8-HUMAN	FAM187B
FAT1+AF8-HUMAN	FAT1
FAT2+AF8-HUMAN	FAT2
FAT3+AF8-HUMAN	FAT3
FAT4+AF8-HUMAN	FAT4
FCAMR+AF8-HUMAN	FCAMR
FCAR+AF8-HUMAN	FCAR
FCERA+AF8-HUMAN	FCER1A
FCG2A+AF8-HUMAN	FCGR2A
FCG2B+AF8-HUMAN	FCGR2B
FCG2C+AF8-HUMAN	FCGR2C
FCG3A+AF8-HUMAN	FCGR3A
FCG3B+AF8-HUMAN	FCGR3B
FCGR1+AF8-HUMAN	FCGR1A
FCGRB+AF8-HUMAN	FCGR1BP
FCGRN+AF8-HUMAN	FCGRT
FCRL1+AF8-HUMAN	FCRL1
FCRL2+AF8-HUMAN	FCRL2
FCRL3+AF8-HUMAN	FCRL3
FCRL4+AF8-HUMAN	FCRL4
FCRL5+AF8-HUMAN	FCRL5
FCRL6+AF8-HUMAN	FCRL6
FFAR1+AF8-HUMAN	FFAR1
FFAR2+AF8-HUMAN	FFAR2
FFAR3+AF8-HUMAN	FFAR3
FFAR4+AF8-HUMAN	FFAR4
FGFR1+AF8-HUMAN	FGFR1
FGFR2+AF8-HUMAN	FGFR2
FGFR3+AF8-HUMAN	FGFR3
FGFR4+AF8-HUMAN	FGFR4
FGRL1+AF8-HUMAN	FGFRL1
FKRP+AF8-HUMAN	FKRP
FLRT1+AF8-HUMAN	FLRT1
FLRT2+AF8-HUMAN	FLRT2
FLRT3+AF8-HUMAN	FLRT3
FLT3L+AF8-HUMAN	FLT3LG
FLT3+AF8-HUMAN	FLT3
FLVC1+AF8-HUMAN	FLVCR1
FLVC2+AF8-HUMAN	FLVCR2
FNDC4+AF8-HUMAN	FNDC4
FNDC5+AF8-HUMAN	FNDC5
FNDC9+AF8-HUMAN	FNDC9
FOLH1+AF8-HUMAN	FOLH1
FOLR1+AF8-HUMAN	FOLR1
FOLR2+AF8-HUMAN	FOLR2
FPR1+AF8-HUMAN	FPR1
FPR2+AF8-HUMAN	FPR2
FPR3+AF8-HUMAN	FPR3
FPRP+AF8-HUMAN	PTGFRN
FRAS1+AF8-HUMAN	FRAS1
FREM2+AF8-HUMAN	FREM2
FRRS1+AF8-HUMAN	FRRS1
FSHR+AF8-HUMAN	FSHR
FURIN+AF8-HUMAN	FURIN
FZD10+AF8-HUMAN	FZD10
FZD1+AF8-HUMAN	FZD1
FZD2+AF8-HUMAN	FZD2
FZD3+AF8-HUMAN	FZD3
FZD4+AF8-HUMAN	FZD4
FZD5+AF8-HUMAN	FZD5
FZD6+AF8-HUMAN	FZD6
FZD7+AF8-HUMAN	FZD7
FZD8+AF8-HUMAN	FZD8
FZD9+AF8-HUMAN	FZD9
G137A+AF8-HUMAN	GPR137
G137B+AF8-HUMAN	GPR137B
G137C+AF8-HUMAN	GPR137C
G32P1+AF8-HUMAN	GPR32P1
G6B+AF8-HUMAN	MPIG6B
G6PT1+AF8-HUMAN	SLC37A4
GABR1+AF8-HUMAN	GABBR1
GABR2+AF8-HUMAN	GABBR2
GALR1+AF8-HUMAN	GALR1
GALR2+AF8-HUMAN	GALR2
GALR3+AF8-HUMAN	GALR3
GAS1+AF8-HUMAN	GAS1
GASR+AF8-HUMAN	CCKBR
GBRA1+AF8-HUMAN	GABRA1
GBRA2+AF8-HUMAN	GABRA2
GBRA3+AF8-HUMAN	GABRA3
GBRA4+AF8-HUMAN	GABRA4
GBRA5+AF8-HUMAN	GABRA5
GBRA6+AF8-HUMAN	GABRA6
GBRB1+AF8-HUMAN	GABRB1
GBRB2+AF8-HUMAN	GABRB2
GBRB3+AF8-HUMAN	GABRB3
GBRD+AF8-HUMAN	GABRD
GBRE+AF8-HUMAN	GABRE
GBRG1+AF8-HUMAN	GABRG1
GBRG2+AF8-HUMAN	GABRG2
GBRG3+AF8-HUMAN	GABRG3
GBRP+AF8-HUMAN	GABRP
GBRR1+AF8-HUMAN	GABRR1
GBRR2+AF8-HUMAN	GABRR2
GBRR3+AF8-HUMAN	GABRR3
GBRT+AF8-HUMAN	GABRQ
GDPD2+AF8-HUMAN	GDPD2
GDPD5+AF8-HUMAN	GDPD5
GFRA1+AF8-HUMAN	GFRA1
GFRA2+AF8-HUMAN	GFRA2
GFRA3+AF8-HUMAN	GFRA3
GFRA4+AF8-HUMAN	GFRA4
GFRAL+AF8-HUMAN	GFRAL
GFY+AF8-HUMAN	GFY
GGT1+AF8-HUMAN	GGT1
GGT3+AF8-HUMAN	GGT3P
GGT7+AF8-HUMAN	GGT7
GHRHR+AF8-HUMAN	GHRHR
GHR+AF8-HUMAN	GHR
GHSR+AF8-HUMAN	GHSR
GINM1+AF8-HUMAN	GINM1
GIPR+AF8-HUMAN	GIPR
GLDN+AF8-HUMAN	GLDN
GLIP1+AF8-HUMAN	GLIPR1
GLP1R+AF8-HUMAN	GLP1R
GLP2R+AF8-HUMAN	GLP2R
GLPA+AF8-HUMAN	GYPA
GLPC+AF8-HUMAN	GYPC
GLRA1+AF8-HUMAN	GLRA1
GLRA2+AF8-HUMAN	GLRA2
GLRA3+AF8-HUMAN	GLRA3
GLRB+AF8-HUMAN	GLRB
GLR+AF8-HUMAN	GCGR
GML+AF8-HUMAN	GML
GNRHR+AF8-HUMAN	GNRHR
GNRR2+AF8-HUMAN	GNRHR2
GOLI+AF8-HUMAN	RNF130
GP101+AF8-HUMAN	GPR101
GP107+AF8-HUMAN	GPR107
GP108+AF8-HUMAN	GPR108
GP119+AF8-HUMAN	GPR119
GP132+AF8-HUMAN	GPR132
GP139+AF8-HUMAN	GPR139
GP141+AF8-HUMAN	GPR141
GP142+AF8-HUMAN	GPR142
GP143+AF8-HUMAN	GPR143
GP146+AF8-HUMAN	GPR146
GP148+AF8-HUMAN	GPR148
GP149+AF8-HUMAN	GPR149
GP150+AF8-HUMAN	GPR150
GP151+AF8-HUMAN	GPR151
GP152+AF8-HUMAN	GPR152
GP153+AF8-HUMAN	GPR153
GP155+AF8-HUMAN	GPR155
GP156+AF8-HUMAN	GPR156
GP157+AF8-HUMAN	GPR157
GP158+AF8-HUMAN	GPR158
GP160+AF8-HUMAN	GPR160
GP161+AF8-HUMAN	GPR161
GP162+AF8-HUMAN	GPR162
GP171+AF8-HUMAN	GPR171
GP173+AF8-HUMAN	GPR173
GP174+AF8-HUMAN	GPR174
GP176+AF8-HUMAN	GPR176
GP179+AF8-HUMAN	GPR179
GP180+AF8-HUMAN	GPR180
GP182+AF8-HUMAN	GPR182
GP183+AF8-HUMAN	GPR183
GP1BA+AF8-HUMAN	GP1BA
GP1BB+AF8-HUMAN	GP1BB
GP2+AF8-HUMAN	GP2
GPA33+AF8-HUMAN	GPA33
GPBAR+AF8-HUMAN	GPBAR1
GPC1+AF8-HUMAN	GPC1
GPC2+AF8-HUMAN	GPC2
GPC3+AF8-HUMAN	GPC3
GPC4+AF8-HUMAN	GPC4
GPC5B+AF8-HUMAN	GPRC5B
GPC5C+AF8-HUMAN	GPRC5C
GPC5D+AF8-HUMAN	GPRC5D
GPC5+AF8-HUMAN	GPC5
GPC6A+AF8-HUMAN	GPRC6A
GPC6+AF8-HUMAN	GPC6
GPER1+AF8-HUMAN	GPER1
GPM6A+AF8-HUMAN	GPM6A
GPM6B+AF8-HUMAN	GPM6B
GPNMB+AF8-HUMAN	GPNMB
GPR12+AF8-HUMAN	GPR12
GPR15+AF8-HUMAN	GPR15
GPR17+AF8-HUMAN	GPR17
GPR18+AF8-HUMAN	GPR18
GPR19+AF8-HUMAN	GPR19
GPR20+AF8-HUMAN	GPR20
GPR21+AF8-HUMAN	GPR21
GPR22+AF8-HUMAN	GPR22
GPR25+AF8-HUMAN	GPR25
GPR26+AF8-HUMAN	GPR26
GPR27+AF8-HUMAN	GPR27
GPR31+AF8-HUMAN	GPR31
GPR32+AF8-HUMAN	GPR32
GPR33+AF8-HUMAN	GPR33
GPR34+AF8-HUMAN	GPR34
GPR35+AF8-HUMAN	GPR35
GPR37+AF8-HUMAN	GPR37
GPR39+AF8-HUMAN	GPR39
GPR3+AF8-HUMAN	GPR3
GPR42+AF8-HUMAN	GPR42
GPR45+AF8-HUMAN	GPR45
GPR4+AF8-HUMAN	GPR4
GPR52+AF8-HUMAN	GPR52
GPR55+AF8-HUMAN	GPR55
GPR61+AF8-HUMAN	GPR61
GPR62+AF8-HUMAN	GPR62
GPR63+AF8-HUMAN	GPR63
GPR6+AF8-HUMAN	GPR6
GPR75+AF8-HUMAN	GPR75
GPR78+AF8-HUMAN	GPR78
GPR82+AF8-HUMAN	GPR82
GPR83+AF8-HUMAN	GPR83
GPR84+AF8-HUMAN	GPR84
GPR85+AF8-HUMAN	GPR85
GPR87+AF8-HUMAN	GPR87
GPR88+AF8-HUMAN	GPR88
GPVI+AF8-HUMAN	GP6
GPV+AF8-HUMAN	GP5
GRIA1+AF8-HUMAN	GRIA1
GRIA2+AF8-HUMAN	GRIA2
GRIA3+AF8-HUMAN	GRIA3
GRIA4+AF8-HUMAN	GRIA4
GRID1+AF8-HUMAN	GRID1
GRID2+AF8-HUMAN	GRID2
GRIK1+AF8-HUMAN	GRIK1
GRIK2+AF8-HUMAN	GRIK2
GRIK3+AF8-HUMAN	GRIK3
GRIK4+AF8-HUMAN	GRIK4
GRIK5+AF8-HUMAN	GRIK5
GRM1+AF8-HUMAN	GRM1
GRM2+AF8-HUMAN	GRM2
GRM3+AF8-HUMAN	GRM3
GRM4+AF8-HUMAN	GRM4
GRM5+AF8-HUMAN	GRM5
GRM6+AF8-HUMAN	GRM6
GRM7+AF8-HUMAN	GRM7
GRM8+AF8-HUMAN	GRM8
GRPR+AF8-HUMAN	GRPR
GSG1L+AF8-HUMAN	GSG1L
GSG1+AF8-HUMAN	GSG1
GTR10+AF8-HUMAN	SLC2A10
GTR11+AF8-HUMAN	SLC2A11
GTR12+AF8-HUMAN	SLC2A12
GTR14+AF8-HUMAN	SLC2A14
GTR1+AF8-HUMAN	SLC2A1
GTR2+AF8-HUMAN	SLC2A2
GTR3+AF8-HUMAN	SLC2A3
GTR5+AF8-HUMAN	SLC2A5
GTR6+AF8-HUMAN	SLC2A6
GTR7+AF8-HUMAN	SLC2A7
GTR8+AF8-HUMAN	SLC2A8
GTR9+AF8-HUMAN	SLC2A9
GUC2C+AF8-HUMAN	GUCY2C
HAVR1+AF8-HUMAN	HAVCR1
HAVR2+AF8-HUMAN	HAVCR2
HBEGF+AF8-HUMAN	HBEGF
HCAR1+AF8-HUMAN	HCAR1
HCAR2+AF8-HUMAN	HCAR2
HCAR3+AF8-HUMAN	HCAR3
HDBP1+AF8-HUMAN	GPIHBP1
HECA2+AF8-HUMAN	HEPACAM2
HECAM+AF8-HUMAN	HEPACAM
HEG1+AF8-HUMAN	HEG1
HEPH+AF8-HUMAN	HEPH
HFE+AF8-HUMAN	HFE
HG2A+AF8-HUMAN	CD74
HHLA2+AF8-HUMAN	HHLA2
HIDE1+AF8-HUMAN	HIDE1
HLAE+AF8-HUMAN	HLA+AC0-E
HLAF+AF8-HUMAN	HLA+AC0-F
HLAG+AF8-HUMAN	HLA+AC0-G
HLAH+AF8-HUMAN	HLA+AC0-H
HM13+AF8-HUMAN	HM13
HMR1+AF8-HUMAN	MR1
HPHL1+AF8-HUMAN	HEPHL1
HRH1+AF8-HUMAN	HRH1
HRH2+AF8-HUMAN	HRH2
HRH3+AF8-HUMAN	HRH3
HRH4+AF8-HUMAN	HRH4
HYAL2+AF8-HUMAN	HYAL2
HYALP+AF8-HUMAN	SPAM1
I10R1+AF8-HUMAN	IL10RA
I10R2+AF8-HUMAN	IL10RB
I11RA+AF8-HUMAN	IL11RA
I12R1+AF8-HUMAN	IL12RB1
I12R2+AF8-HUMAN	IL12RB2
I13R1+AF8-HUMAN	IL13RA1
I13R2+AF8-HUMAN	IL13RA2
I15RA+AF8-HUMAN	IL15RA
I17RA+AF8-HUMAN	IL17RA
I17RB+AF8-HUMAN	IL17RB
I17RC+AF8-HUMAN	IL17RC
I17RD+AF8-HUMAN	IL17RD
I17RE+AF8-HUMAN	IL17RE
I18RA+AF8-HUMAN	IL18RAP
I20RA+AF8-HUMAN	IL20RA
I20RB+AF8-HUMAN	IL20RB
I22R1+AF8-HUMAN	IL22RA1
I27RA+AF8-HUMAN	IL27RA
ICAM1+AF8-HUMAN	ICAM1
ICAM2+AF8-HUMAN	ICAM2
ICAM3+AF8-HUMAN	ICAM3
ICAM4+AF8-HUMAN	ICAM4
ICAM5+AF8-HUMAN	ICAM5
ICOSL+AF8-HUMAN	ICOSLG
ICOS+AF8-HUMAN	ICOS
IDD+AF8-HUMAN	DGCR2
IGDC3+AF8-HUMAN	IGDCC3
IGDC4+AF8-HUMAN	IGDCC4
IGF1R+AF8-HUMAN	IGF1R
IGFR1+AF8-HUMAN	IGFLR1
IGS11+AF8-HUMAN	IGSF11
IGSF1+AF8-HUMAN	IGSF1
IGSF2+AF8-HUMAN	CD101
IGSF3+AF8-HUMAN	IGSF3
IGSF5+AF8-HUMAN	IGSF5
IGSF6+AF8-HUMAN	IGSF6
IGSF8+AF8-HUMAN	IGSF8
IL18R+AF8-HUMAN	IL18R1
IL1AP+AF8-HUMAN	IL1RAP
IL1R1+AF8-HUMAN	IL1R1
IL1R2+AF8-HUMAN	IL1R2
IL21R+AF8-HUMAN	IL21R
IL23R+AF8-HUMAN	IL23R
IL2RA+AF8-HUMAN	IL2RA
IL2RB+AF8-HUMAN	IL2RB
IL2RG+AF8-HUMAN	IL2RG
IL31R+AF8-HUMAN	IL31RA
IL3RA+AF8-HUMAN	IL3RA
IL3RB+AF8-HUMAN	CSF2RB
IL4RA+AF8-HUMAN	IL4R
IL5RA+AF8-HUMAN	IL5RA
IL6RA+AF8-HUMAN	IL6R
IL6RB+AF8-HUMAN	IL6ST
IL7RA+AF8-HUMAN	IL7R
IL9R+AF8-HUMAN	IL9R
ILDR1+AF8-HUMAN	ILDR1
ILRL1+AF8-HUMAN	IL1RL1
ILRL2+AF8-HUMAN	IL1RL2
IMPG2+AF8-HUMAN	IMPG2
INAR1+AF8-HUMAN	IFNAR1
INAR2+AF8-HUMAN	IFNAR2
INGR1+AF8-HUMAN	IFNGR1
INGR2+AF8-HUMAN	IFNGR2
INLR1+AF8-HUMAN	IFNLR1
INSRR+AF8-HUMAN	INSRR
INSR+AF8-HUMAN	INSR
IRPL1+AF8-HUMAN	IL1RAPL1
IRPL2+AF8-HUMAN	IL1RAPL2
ISLR2+AF8-HUMAN	ISLR2
ITA10+AF8-HUMAN	ITGA10
ITA11+AF8-HUMAN	ITGA11
ITA1+AF8-HUMAN	ITGA1
ITA2B+AF8-HUMAN	ITGA2B
ITA2+AF8-HUMAN	ITGA2
ITA3+AF8-HUMAN	ITGA3
ITA4+AF8-HUMAN	ITGA4
ITA5+AF8-HUMAN	ITGA5
ITA6+AF8-HUMAN	ITGA6
ITA7+AF8-HUMAN	ITGA7
ITA8+AF8-HUMAN	ITGA8
ITA9+AF8-HUMAN	ITGA9
ITAD+AF8-HUMAN	ITGAD
ITAE+AF8-HUMAN	ITGAE
ITAL+AF8-HUMAN	ITGAL
ITAM+AF8-HUMAN	ITGAM
ITAV+AF8-HUMAN	ITGAV
ITAX+AF8-HUMAN	ITGAX
ITB1+AF8-HUMAN	ITGB1
ITB2+AF8-HUMAN	ITGB2
ITB3+AF8-HUMAN	ITGB3
ITB4+AF8-HUMAN	ITGB4
ITB5+AF8-HUMAN	ITGB5
ITB6+AF8-HUMAN	ITGB6
ITB7+AF8-HUMAN	ITGB7
ITB8+AF8-HUMAN	ITGB8
ITLN1+AF8-HUMAN	ITLN1
ITM2B+AF8-HUMAN	ITM2B
ITM2C+AF8-HUMAN	ITM2C
IZUM1+AF8-HUMAN	IZUMO1
IZUM3+AF8-HUMAN	IZUMO3
JAG1+AF8-HUMAN	JAG1
JAG2+AF8-HUMAN	JAG2
JAM1+AF8-HUMAN	F11R
JAM2+AF8-HUMAN	JAM2
JAM3+AF8-HUMAN	JAM3
JUNO+AF8-HUMAN	IZUMO1R
K0319+AF8-HUMAN	KIAA0319
K154L+AF8-HUMAN	KIAA1549L
KCJ12+AF8-HUMAN	KCNJ12
KCMB1+AF8-HUMAN	KCNMB1
KCMB2+AF8-HUMAN	KCNMB2
KCMB3+AF8-HUMAN	KCNMB3
KCMB4+AF8-HUMAN	KCNMB4
KCNA3+AF8-HUMAN	KCNA3
KCNG4+AF8-HUMAN	KCNG4
KCNJ3+AF8-HUMAN	KCNJ3
KCNJ4+AF8-HUMAN	KCNJ4
KCNK5+AF8-HUMAN	KCNK5
KCNKI+AF8-HUMAN	KCNK18
KCNS1+AF8-HUMAN	KCNS1
KCNV2+AF8-HUMAN	KCNV2
KCT2+AF8-HUMAN	KCT2
KELL+AF8-HUMAN	KEL
KI2L1+AF8-HUMAN	KIR2DL1
KI2L2+AF8-HUMAN	KIR2DL2
KI2L3+AF8-HUMAN	KIR2DL3
KI2L4+AF8-HUMAN	KIR2DL4
KI2LA+AF8-HUMAN	KIR2DL5A
KI2LB+AF8-HUMAN	KIR2DL5B
KI2S1+AF8-HUMAN	KIR2DS1
KI2S2+AF8-HUMAN	KIR2DS2
KI2S3+AF8-HUMAN	KIR2DS3
KI2S4+AF8-HUMAN	KIR2DS4
KI2S5+AF8-HUMAN	KIR2DS5
KI3L1+AF8-HUMAN	KIR3DL1
KI3L2+AF8-HUMAN	KIR3DL2
KI3L3+AF8-HUMAN	KIR3DL3
KI3S1+AF8-HUMAN	KIR3DS1
KIRR1+AF8-HUMAN	KIRREL1
KIRR2+AF8-HUMAN	KIRREL2
KIRR3+AF8-HUMAN	KIRREL3
KISSR+AF8-HUMAN	KISS1R
KIT+AF8-HUMAN	KIT
KLOT+AF8-HUMAN	KL
KLRB1+AF8-HUMAN	KLRB1
KLRF1+AF8-HUMAN	KLRF1
KLRF2+AF8-HUMAN	KLRF2
KLRG1+AF8-HUMAN	KLRG1
KREM1+AF8-HUMAN	KREMEN1
KREM2+AF8-HUMAN	KREMEN2
L1CAM+AF8-HUMAN	L1CAM
L37A1+AF8-HUMAN	LRRC37A
L37A2+AF8-HUMAN	LRRC37A2
L37A3+AF8-HUMAN	LRRC37A3
LAAT1+AF8-HUMAN	SLC66A1
LAG3+AF8-HUMAN	LAG3
LAIR1+AF8-HUMAN	LAIR1
LAMP1+AF8-HUMAN	LAMP1
LAMP2+AF8-HUMAN	LAMP2
LAMP3+AF8-HUMAN	LAMP3
LAMP5+AF8-HUMAN	LAMP5
LAT1+AF8-HUMAN	SLC7A5
LAT3+AF8-HUMAN	SLC43A1
LAT4+AF8-HUMAN	SLC43A2
LAYN+AF8-HUMAN	LAYN
LBN+AF8-HUMAN	EVC2
LCAP+AF8-HUMAN	LNPEP
LDLR+AF8-HUMAN	LDLR
LEPR+AF8-HUMAN	LEPR
LEUK+AF8-HUMAN	SPN
LFA3+AF8-HUMAN	CD58
LFG2+AF8-HUMAN	FAIM2
LGR4+AF8-HUMAN	LGR4
LGR5+AF8-HUMAN	LGR5
LGR6+AF8-HUMAN	LGR6
LHPL1+AF8-HUMAN	LHFPL1
LHPL4+AF8-HUMAN	LHFPL4
LIFR+AF8-HUMAN	LIFR
LIGO1+AF8-HUMAN	LINGO1
LIGO2+AF8-HUMAN	LINGO2
